NCBI TaxID,Species,Notes,Domain,Phylum,Gram stain (bacteria),BSL level,Application area,Source Niche,Cultivation tags,Genetic tool readiness level,Need day 1,Author,Alternative names,Projects
521377,"Alkalihalobacillus
  marmarensis","Protease producing bacteria, potential source for pH-stable enzymes",Bacteria,Bacillota,Positive,1,"Production, Sustainability","Soil, Tree/Fruit/food","Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
199441,Alkalihalobacillus krulwichiae,Potential source for pH-stable enzymes,Bacteria,Firmicutes,Positive,1,"Production, Sustainability",Soil,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
1134413,Alkalihalobacillus ligniniphilus,Produces lignin degrading enzymes. Potential source for other pH-stable enzymes,Bacteria,Firmicutes,Positive,1,"Production, Sustainability",Marine sediment,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
127891,Alkalihalobacillus wakoensis,Potential source for pH-stable enzymes,Bacteria,Firmicutes,Positive,1,"Production, Sustainability",Soil,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
152573,Alkalimonas amylolytica,Production of amylases and other potential pH-stable enzymes,Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",Extreme: soda lake,"Aerobe, Alkaliphile, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
476157,Altererythrobacter ishigakiensis,"Production of sphingoglycolipid 1 and other carotenoids, including astaxanthin, adonixanthin and zeaxanthin",Bacteria,Pseudomonadota,Negative,1,Production,Aquatic: marine,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
2714,Aquifex pyrophilus,Potential source for thermostable enzymes,Bacteria,Aquificota,,1,"Production, Sustainability",Extreme: deep sea,"Anaerobe, Thermophile",Unreviewed,No,Zaira Martín Moldes,,
1087449,Aquimarina agarlyticus,"Agarylitic bacteria. Antimicrobial resistance research, drug development",Bacteria,Bacteroidota,Negative,1,"Health, Production",Aquatic: marine,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
47429,Armillaria mellea,"Important tree pathogen, potential for biocontrol strains",Eukarya,Basidiomycota,,1,"Food, Materials",Plant biomass,"Aerobe, Filamentous, Mesophile",Level 3,No,Charlie Gilbert,,
118562,"Arthrospira
  platensis","C source for biofuel production, bioplastics production, H2 production",Bacteria,Cyanophyta,,1,"Production, Sustainability",Aquatic: marine,"Aerobe, Alkaliphile, Mesophile, Photoautotrophe",Unreviewed,No,Zaira Martín Moldes,,
105351,Aspergillus awamori,"Improved P availability for plant growth, phosphate solubilising microbe (PSM)",Eukarya,Ascomycota,,1,"Agriculture, Production",,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
5061,Aspergillus niger,"Production of enzymes (glucoamylase, proteases, phytases, glucose oxidase), Organic acids (citric acid, gluconic acid), Anticancer Compounds, waste management and biotransformations",Eukarya,Ascomycota,,1,"Production, Sustainability",Tree/Fruit/food,"Aerobe, Filamentous, Mesophile",Level 1,yes,"Charlie Gilbert, Zaira Martín Moldes",,
5062,Aspergillus oryzae,Enzymes (amylases),Eukarya,Ascomycota,,1,Production,,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
33178,Aspergillus terreus,"Enzymes (xylanases), Organic acids (itaconic acid), Secondary metabolites (lovastatin)",Eukarya,Ascomycota,,1,Production,,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
39291,Athelia rolfsii,"Production of scleroglucan for cosmetics, biocontrol of plant diseases",Eukarya,Basidiomycota,,1,"Agriculture, Production",,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
5580,Aureobasidium pullulans,"Production of pullulan, extremophile",Eukarya,Ascomycota,,1,"Materials, Production",,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
354,"Azotobacter
  vinelandii","Agriculture, can fix nitrogen while grown aerobically",Bacteria,Pseudomonadota,Negative,1,Agriculture,Soil,"Aerobe, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
1463663,Bacillus aequororis,Potential source for pH-stable enzymes,Bacteria,Firmicutes,Positive,1,"Production, Sustainability",Marine sediment,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
,Bacillus agaradhearens PN105,"alkaliphilic Bacillus strains are promising metabolite producers of carotenoids, cholic acid derivatives, and organic acids.",Bacteria,Bacillota,Positive,1,Production,Soil,"Aerobe, Alkaliphile, Mesophile",Level 2,No,Anna Douyon,,DNA delivery screen
1411,Bacillus akibai,Potential source for pH-stable enzymes,Bacteria,Firmicutes,Positive,1,"Production, Sustainability",Soil,"Aerobe, Alkaliphile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
1445,Bacillus alcalophilus,Potential source for pH-stable enzymes,Bacteria,Firmicutes,Positive,1,"Production, Sustainability",Soil,"Aerobe, Alkaliphile, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
472963,Bacillus alkalidiazotrophicus,Potential source for pH-stable enzymes,Bacteria,Firmicutes,Positive,1,"Production, Sustainability",Extreme: soda lake,"Alkaliphile, Anaerobe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
,Bacillus clausii C360,"The clinical benefits observed with probiotic use are mainly attributed to the antimicrobial substances produced by probi- otic strains and to their immunomodulatory effects. Bacillus strains for animal nutritional use and for human use (pharmaceutical preparations) include B. subtilis, B. licheni- formis, B. coagulans, B. toyoi (cereus), B. natto (subtilis), B. clausii, B. polyfermentans, and B. cereus",Bacteria,Bacillota,Positive,1,Health,Soil,"Aerobe, Alkaliphile, Mesophile",Level 4,No,Anna Douyon,,DNA delivery screen
86665,Bacillus halodurans,Produces haloduracin. Pretreatment of biomass for biofuel production. Potential source for pH-stable enzymes,Bacteria,Firmicutes,Positive,1,"Production, Sustainability",Soil,"Aerobe, Alkaliphile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
,Bacillus halodurans A59,"Produces alkaline amylase (ATCC)alkaliphilic Bacillus strains are promising metabolite producers of carotenoids, cholic acid derivatives, and organic acids.",Bacteria,Bacillota,Positive,1,Production,Soil,"Aerobe, Alkaliphile, Mesophile",Level 4,No,Anna Douyon,,DNA delivery screen
272558,Bacillus halodurans C-125,"Produces beta-galactosidase beta-D-galactosidase & Produces xylan endo-1,3-beta-xylosidase xylan hydrolase, xylanase (ATCC)a model alkaliphile and source of a several enzymes of industrial importance first alkaliphilic species to have its genome completely sequenced",Bacteria,Bacillota,Positive,1,Production,Soil,"Aerobe, Alkaliphile, Mesophile",Level 2,No,Anna Douyon,,DNA delivery screen
,Bacillus halodurans PN 80 (type strain),"alkaliphilic Bacillus strains are promising metabolite producers of carotenoids, cholic acid derivatives, and organic acids.",Bacteria,Bacillota,Positive,1,Production,wastewater,"Aerobe, Alkaliphile, Mesophile",Level 4,No,Anna Douyon,,DNA delivery screen
127886,Bacillus hemicellulosilyticus,Produces hemicellulase. Potential source for other pH-stable enzymes,Bacteria,Firmicutes,Positive,1,"Production, Sustainability",Soil,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
,Bacillus licheniformis 46,"Bacillus licheniformis is an important industrial microorganism that was sought after due to its capacity for the high-yield fermentation of industrial enzymes, biopolymers and metabolites [1,2]. In contrast to Escherichia coli, B. licheniformis has received a ‘generally regarded as safe’ (GRAS) designation, it excellently secretes products into the extracellular medium, and requires simple nutrition, which makes it an attractive biomanufacturing platform",Bacteria,Bacillota,Positive,1,Production,,"Aerobe, Alkaliphile, Mesophile",Level 1,No,Anna Douyon,,DNA delivery screen
1928704,Bacillus nealsonii FO-92,"Resistant to gamma-radiation (ATCC).The spores of this novel bacterial species exhibitedresistance to UV, c-radiation, H2O2 and desiccation. (Paper)",Bacteria,Bacillota,Positive,1,Basic science,spacecraft-assembly facility,"Aerobe, Alkaliphile, Mesophile",Level 4,No,Anna Douyon,,DNA delivery screen
,Bacillus pseudofirmus C324,"alkaliphilic Bacillus strains are promising metabolite producers of carotenoids, cholic acid derivatives, and organic acids.",Bacteria,Bacillota,Positive,1,Production,Soil,"Aerobe, Alkaliphile, Mesophile",Level 4,No,Anna Douyon,,DNA delivery screen
398511,Bacillus pseudofirmus OF4,"alkaliphilic Bacillus strains are promising metabolite producers of carotenoids, cholic acid derivatives, and organic acids.strain OF4 is one of the most alkaliphilic Bacillus investigated along with b. halodurans C-125",Bacteria,Bacillota,Positive,1,Production,Soil,"Aerobe, Alkaliphile, Mesophile",Level 2,No,Anna Douyon,,DNA delivery screen
1423,Bacillus subtilis,"Soil bacteria that solubilize soil P, enhance nitrogen fixation, and produce siderophores that promote plant growth and suppresses the growth of pathogens",Bacteria,Firmicutes,Positive,1,"Basic science, Sustainability",Soil,"Aerobe, Mesophile",Level 1,No,Zaira Martín Moldes,,
818,Bacteroides thetaiotaomicron,Gut microbe model for sugar regulation,Bacteria,Bacteroidota,Negative,2,"Basic science, Health",Gut microbiome,"Anaerobe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
176275,Beauveria bassiana,"Entomopathogenic fungus with broad-host range, widely commerically used in biocontrol of insects, plant endophyte.",Eukarya,Ascomycota,,1,Agriculture,,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
1022,Beggiatoa alba,Sulfur oxidizer. Can fix CO2. Can use methanol as C source. Bioleaching,Bacteria,Pseudomonadota,Negative,1,Bioremediation,Soil,"Aerobe, Chemoautotrophe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
4850,Blakeslea trispora,Vitamins (β-carotene),Eukarya,Mucoromycota,,1,Production,,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
4808,Blastocladiella emersonii,"Ancestral yeast at base of fungal phylogenetic tree, only transformed Blastocladiomycota, model for cellular differentiation",Eukarya,Blastocladiomycota,,1,Basic science,,"Aerobe, Mesophile",Level 3,No,Charlie Gilbert,,
56055,Bogoriella caseilytica,"Potential source of enzymes for biomass pre-treatment as it hydrolyzes starch, esculin, casein, and gelatin",Bacteria,Actinomycetota,Positive,1,"Production, Sustainability","Extreme: soda lake, Soil","Aerobe, Alkaliphile, Mesophile, Slow grower",Unreviewed,yes,Zaira Martín Moldes,,
506594,Brevibacterium pityocampae,Potential source of pH-stable enzymes,Bacteria,Actinomycetota,Positive,1,Production,"Soil, Tree/Fruit/food","Aerobe, Alkaliphile, Mesophile, Slow grower",Unreviewed,No,Zaira Martín Moldes,,
292,Burkholderia cepacia,Metabolizes polyaromatic hydrocarbons,Bacteria,Pseudomonadota,Negative,2,Bioremediation,Aquatic: marine,Aerobe,Unreviewed,No,"Zaira Martín Moldes, Clair Kang",,CRISPRi
1418,Caldalkalibacillus mannanilyticus,Produces mannases. Potential source for other pH-stable enzymes,Bacteria,Firmicutes,Positive,1,"Production, Sustainability",Soil,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
296745,Caldalkalibacillus thermarum,Potential source of pH and thermo-stable enzymes,Bacteria,Firmicutes,Positive,1,Production,Extreme: hot spring,"Aerobe, Alkaliphile, Moderate Thermophile",Unreviewed,No,Zaira Martín Moldes,,
155892,Caulobacter crescentus,"Model organism for studying the regulation of the cell cycle, asymmetric cell division, and cellular differentiation. Aquatic, grows in nutrient-poor environments",Bacteria,Pseudomonadota,Negative,1,Basic science,Aquatic: freshwater,"Aerobe, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
1713,Cellulomonas turbata,H2 production at high pH and salt %,Bacteria,Actinomycetota,Positive,1,Production,Soil,"Aerobe, Alkaliphile, Mesophile, Slow grower",Unreviewed,yes,Zaira Martín Moldes,,
979,Cellulophaga lytica,Model for the formation of structural colour and for gliding motility,Bacteria,Bacteroidota,,1,Basic science,,"Aerobe, Mesophile",Level 3,yes,Charlie Gilbert,,
3055,Chlamydomonas reinhardtii,Production of lipids,Eukarya,Chlorophyta,,1,Production,"Aquatic: freshwater, Soil","Aerobe, Mesophile, Photoautotrophe",Unreviewed,No,Zaira Martín Moldes,,
141389,Chromohalobacter canadensis,Production of extracellular polymer (polyglutamic acid (PGA)),Bacteria,Pseudomonadota,Negative,1,Production,Aquatic: marine,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
141390,Chromohalobacter israelensis,Biomineralization in high salt systems,Bacteria,Pseudomonadota,Negative,1,Production,Aquatic: marine,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
245294,Chromohalobacter sarecensis,Potential source of salt-stable enzymes,Bacteria,Pseudomonadota,Negative,1,Production,Aquatic: marine,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
29856,Clonostachys rosea,"Plant endophyte, biocontrol agent for fungi, bacteria, insects and nematodes. Plastic waste degradation",Eukarya,Ascomycota,,1,"Agriculture, Sustainability",,"Aerobe, Filamentous, Mesophile",Level 2,yes,Charlie Gilbert,,
84023,Clostridium autoethanogenum,Model acetogen; produces ethanol from carbon monoxide,Bacteria,Bacillota,Positive,1,"Production, Sustainability",Rabbit feces,Anaerobe,Unreviewed,No,Clair Kang,,CRISPRi
1520,Clostridium beijerinckii,"Ability to produce butanol, acetone, and isopropanol at strictly anaerobic conditions at 37 C using wide range of substrates",Bacteria,Bacillota,Positive,1,Production,"Feces, Soil",Anaerobe,Unreviewed,No,Clair Kang,,CRISPRi
1538,Clostridium ljungdahlii,Bioconversion of synthesis gas to a variety of fuels and chemicals through WLP,Bacteria,Bacillota,Positive,1,Production,Waste,Anaerobe,Unreviewed,No,Clair Kang,,CRISPRi
285,Comamonas testosteroni,"Soil bacterium with PGP activities and potential for bioremediation, present in activated sludge",Bacteria,Pseudomonadota,,1,"Agriculture, Sustainability",,"Aerobe, Mesophile",Level 1,No,Charlie Gilbert,,
1718,Corynebacterium glutamicum,Production of amino acids,Bacteria,Actinomycetota,Positive,1,Production,"Soil, Tree/Fruit/food","Aerobe, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,CRISPRi
51030,Cupriviadus necator,CO2 assimilation and bioproduction,Bacteria,Pseudomonadota,Negative,1,"Production, Sustainability",,"Aerobe, Mesophile",Level 1,No,Charlie Gilbert,,
1140,Cyanobacterium Synechococcus elongatus PCC 7942,Succinate production,Bacteria,Cyanophyta,Negative,1,Production,"Aquatic: freshwater, Aquatic: marine",Photoautotrophe,Unreviewed,No,Clair Kang,,CRISPRi
68909,Deinococcus geothermalis,"Potential source of thermo-stable enzymes. Gamma radiation resistent, solvent-tolerant",Bacteria,Deinococcota,Positive,1,"Basic science, Bioremediation, Production",,"Aerobe, Moderate Thermophile",Unreviewed,No,Zaira Martín Moldes,,
1299,Deinococcus radiodurans,"Extremophile model organism, radiation resistent",Bacteria,Deinococcota,Positive,1,Basic science,Soil,"Aerobe, Mesophile",Level 1,No,Charlie Gilbert,,
293256,Desulfohalovibrio alkalitolerans,"Produces desulfoviridin, a dissimilatory sulfite reductase. Isolated from corroding metal",Bacteria,Pseudomonadota,Negative,1,"Bioremediation, Production",Corroding metal,"Alkaliphile, Anaerobe, Chemoautotrophe, Moderate Thermophile",Unreviewed,No,Zaira Martín Moldes,,
159290,Desulfonatronum thiodismutans,Potential for pH and salt-stable enzymes. Sulfate-reducing bacteria,Bacteria,Pseudomonadota,Negative,1,"Bioremediation, Production",Extreme: soda lake,"Alkaliphile, Anaerobe, Chemoautotrophe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
44689,Dictyostelium discoideum,Model to study multicellularity,Eukarya,Amoebozoa,,1,Basic science,Soil,"Aerobe, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
161920,Dietzia natronolimnaea,Potential for pH and salt-stable enzymes,Bacteria,Actinomycetota,Positive,1,Production,Extreme: soda lake,"Aerobe, Alkaliphile, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
75659,Duganella zoogloeoides,"Production of zooglan exopolysaccharide, involvement in sewage treatment",Bacteria,Pseudomonadota,,1,"Materials, Production, Sustainability",,"Aerobe, Biofilm Formation, Mesophile",Level 3,yes,Charlie Gilbert,,
382,Ensifer meliloti,N fixation in leguminous plant root nodules,Bacteria,Pseudomonadota,,1,"Agriculture, Sustainability",,"Aerobe, Mesophile",Level 1,No,Charlie Gilbert,,
562,Escherichia coli,"Key validation strain, model organism",Bacteria,Pseudomonadota,Negative,1,Basic science,,"Aerobe, Mesophile",Level 1,yes,"Charlie Gilbert, Zaira Martín Moldes",,
1413,Evansella cellulosilytica,Potential source for pH-stable enzymes,Bacteria,Bacillota,Positive,1,"Production, Sustainability",Soil,"Aerobe, Alkaliphile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
33987,"Exiguobacterium
  aurantiacum",Potential for pH and salt-stable enzymes. Strain SW-20 shows petroleum hydrocarbon-degrading ability,Bacteria,Bacillota,Positive,1,"Bioremediation, Production","Extreme: soda lake, Tree/Fruit/food","Aerobe, Alkaliphile, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
38945,Flammulina velutipes,"Edible fungus, grows on LCM",Eukarya,Basidiomycota,,1,"Food, Materials, Sustainability",,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
,Flavobacterium IR1,Model for the formation of structural colour and for gliding motility,Bacteria,Bacteroidota,,1,Basic science,,"Aerobe, Mesophile",Level 2,No,Charlie Gilbert,,
56646,Fusarium venenatum,Mycoprotein as meat alternative,Eukarya,Ascomycota,,1,"Food, Sustainability",,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
5315,Ganoderma lucidum,"Composite materials (packaging material, construction material), Imitation leather",Eukarya,Basidiomycota,,1,"Materials, Sustainability",,"Aerobe, Filamentous, Mesophile",Level 2,No,Charlie Gilbert,,
1426,Geobacillus thermoglucosidasius,Moderate thermophile,Bacteria,Bacillota,,1,"Basic science, Production",,"Aerobe, Moderate Thermophile",Level 1,No,Charlie Gilbert,,
1357543,Gloeocapsa alpicola,H2 production from methane,Bacteria,Cyanophyta,,1,"Production, Sustainability",Aquatic: marine,"Aerobe, Mesophile, Photoautotrophe",Unreviewed,No,Zaira Martín Moldes,,
1433147,Gloeocapsopsis sp. UTEX B3054,"Resistent to dessication, resistent to radiation.",Bacteria,Cyanophyta,,1,Basic science,"Aquatic: marine, Outer space","Aerobe, Mesophile, Photoautotrophe",Unreviewed,No,Zaira Martín Moldes,,
,Griffola frondosa,"Edible fungus, grows on LCM",Eukarya,Basidiomycota,,1,Food,,"Aerobe, Filamentous, Mesophile",Level 3,No,Charlie Gilbert,,
367189,Haladaptatus paucihalophilus,Model for osmoadaptation. Potential source of enzymes for biomass pre-treatment for biofuel production,Archaea,Euryarchaeota,,1,"Production, Sustainability",Spring and marshes,"Aerobe, Chemoautotrophe, Halophile",Unreviewed,No,Zaira Martín Moldes,,
42421,Halanaerobium acetethylicum,Potential source of enzymes for biomass pre-treatment for biofuel production. Isolated for oil rig,Bacteria,Bacillota,Negative,1,"Production, Sustainability",Oil rig,"Anaerobe, Chemoautotrophe, Halophile",Unreviewed,No,Zaira Martín Moldes,,
656519,Halanaerobium hydrogeniformans,Production of H2 at high pH and salt concentration. Potential source of enzymes for biomass pre-treatment for biofuel production,Bacteria,Bacillota,Negative,1,"Production, Sustainability",Extreme: soda lake,"Alkaliphile, Anaerobe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
42859,Halanaerobium lacusrosei,Production of H2 and ethanol at high pH and salt concentration. Potential source of enzymes for biomass pre-treatment for biofuel production,Bacteria,Bacillota,Negative,1,"Production, Sustainability",Extreme: soda lake,"Alkaliphile, Anaerobe, Halophile, Mesophile",Unreviewed,No,Zaira Martín Moldes,,
43776,Haloarcula argentinensis,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
29282,Haloarcula japonica,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
2238,Haloarcula marismortui,Model for adaptation. Potential source of enzymes for biomass pre-treatment for biofuel production,Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
57705,Haloarcula mukohataei,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
182779,Haloarcula quadrata,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
28442,Haloarcula vallismortis,"Potential source of enzymes for biomass pre-treatment for biofuel production, food and skin-care products industry",Archaea,Euryarchaeota,,1,"Production, Sustainability",Extreme: salt lake/soil,"Aerobe, Halophile, Mesophile",Unreviewed,yes,Zaira Martín Moldes,,
